TMC,DISTANCE,AADT,NO_LANES,MEDWID,SPD_LIMT,SURF_WID,ACCESS,RTE_NBR,Facility_Type,Total,Fatal,Injury,PDO,Total_NonInt,Fatal_NonInt,Injury_NonInt,PDO_NonInt,SHD_WID,myState,OptSpd,SpdVarr1,SpdVarr1_wkd,SpdVarr1_wke,OptSpd_wkd,OptSpd_wke,SpdVarr2,SpdVarr3,SpdVarr4,SpdAvg,SpdCrash,SpdBefCr1,SpdBefCr2,SpdBefCr3,SpdBefCr4,SpdBefCrSD1,SpdBefCrSD2,SpdBefCrSD3,SpdBefCrSD4,SpdBefCrSim1,SpdBefCrSim2,SpdBefCrSim3,SpdBefCrSim4,SpdFF,L_of_Cuv,N_of_Cuv,MinRadius
108P05185,6.11358,51321.70903,4,84,NA,48,F,0075R,0_RI,75,0,15,60,72,0,13,59,NA,OH,61.77539372,0.423918869,0.423928512,0.423979612,61.34240545,62.74658652,0.327701976,0.202275768,0.201207151,59.39590699,61.33457275,61.02280786,61.02280786,61.02280786,61.02280786,11.03604328,9.960055676,9.802994109,9.289885776,61.53180761,61.53105718,61.55471483,61.58270301,61.69825146,0.2,1,1909.866667
108P05186,5.06828,53946,4,84,NA,48,F,0075R,0_RI,59,0,20,39,58,0,20,38,NA,OH,61.4681909,0.290017895,0.290024492,0.290059452,61.05680312,62.2352115,0.568389236,0.166246395,0.177333919,58.78140552,60.78896908,60.95566386,60.95566386,60.95566386,60.95566386,8.123183146,7.330342302,6.355910514,6.025834641,61.04320096,61.21641757,61.1301057,61.19331917,61.38906997,0,0,-1
108N05183,1.80522,45890,4,84,NA,48,F,0075R,0_RI,0,0,0,0,0,0,0,0,NA,OH,61.83971626,0.41918348,0.419193015,0.419243544,61.40590866,62.72435568,0.446396672,0.275495023,0.094358234,59.44329693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.62647586,1.1,4,1432.4
108P05183,8.01801,45890,4,84,NA,48,F,0075R,0_RI,80,0,13,67,79,0,13,66,NA,OH,62.2870045,0.595319203,0.595332745,0.595404507,61.82010209,63.3232234,0.342864873,0.268143979,0.434571884,59.90362886,61.36735141,62.26349393,62.26349393,62.26349393,62.26349393,7.609836266,7.241150959,6.931383207,6.579767161,62.44646942,62.25006458,62.24223396,62.17687308,62.1194462,1.1,4,1432.4
108P08933,0.70908,5565.23647,4,46.68096768,NA,48,F,0006R,3_RMD,2,0,1,1,1,0,0,1,NA,OH,63.8172,0.982491803,0.982514152,0.982632585,63.42081988,65.45353846,1.140527628,0.321083146,1.157066022,54.89290186,44.92791085,61.17380463,61.17380463,61.17380463,61.17380463,5.123593447,3.841189879,3.592869877,3.643919343,56.7264,60.00459154,60.77828571,61.51948432,63.8172,0.19,5,954.9333333
108P09113,2.26922,8274.382971,4,NA,NA,49.15681699,N,0127R,2_RMU,4,0,0,4,3,0,0,3,NA,OH,33.23005612,4.800488378,4.800597574,4.80117624,32.79220161,34.42562456,0.671370205,0.512383167,0.565776056,24.03214459,22.94822573,31.74458786,31.74458786,31.74458786,31.74458786,3.902453467,8.621171484,8.363691802,9.14497847,29.10073795,28.88424652,29.26936516,29.83608148,34.0383,0.24,2,954.9333333
122N04202,9.08589,75040,6,60,NA,72,F,0071R,0_RI,10,0,3,7,10,0,3,7,NA,OH,68.93404426,1.748094199,1.748133963,1.748344683,68.47704955,70.07738643,1.023703687,0.53247831,0.007518764,65.79720624,67.6258647,69.44233359,69.44233359,69.44233359,69.44233359,6.995366849,8.557973463,7.491834063,6.756280967,69.08023629,69.09118008,69.1435217,69.04804071,68.68074331,0.45,2,1909.866667
108P09116,2.28785,2130,2,NA,NA,24,N,0127R,1_R2L,1,0,0,1,1,0,0,1,NA,OH,56.41273973,0.855129723,0.855149175,0.855252255,56.02897959,57.19625,0.410686042,0.199756525,0.653708175,46.75158408,NA,27.63845638,27.63845638,27.63845638,27.63845638,NA,NA,21.76102389,15.58718227,51.33451162,55.4803625,54.91564003,54.91564003,56.22020478,0,0,-1
122N04268,4.49271,40840,4,58,NA,48,F,0033R,3_RMD,7,0,2,5,7,0,2,5,NA,OH,67.06464133,0.912243981,0.912264732,0.912374697,66.78770544,67.88564953,0.683950369,0.326015135,0.260316281,63.91403366,63.78166933,67.35217108,67.35217108,67.35217108,67.35217108,6.173450748,5.845377062,6.457529459,5.681043092,66.85764984,67.17072412,66.86133113,66.38451154,66.80985976,0,0,-1
122N04995,6.09238,34325.30576,4,68,NA,48,F,0075R,0_RI,14,0,2,12,14,0,2,12,NA,OH,66.63058633,0.680543408,0.680558888,0.680640923,66.42877739,67.26062254,0.686227799,0.365990634,0.318142787,64.8091121,66.38690774,69.13515353,69.13515353,69.13515353,69.13515353,7.895352494,7.139216974,6.7210484,8.048977678,67.75492975,66.95270631,67.12199062,67.15468771,66.51271569,2.44,13,1145.92
